File;Device_ID;season;diel;habitat;cluster;technophony;geophony;anthropophony;biophony;waterbirds;birdsong;other;avian;insect;amphibian;dominance
2025-05-12T20_14_09.937Z;3b425ce9;spring;dusk;Wetland;Loenderveen;self-noise;0;0;frog;0;0;0;0;0;1;technophony
2025-04-06T03_28_43.585Z;3b425ce9;spring;night;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-09T01_47_56.152Z;3b425ce9;summer;dawn;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-25T18_49_39.089Z;3b425ce9;summer;day;Wetland;Loenderveen;self-noise;0;airplane;distant birdcall;0;0;1;1;0;0;anthropophony
2025-07-20T20_26_03.079Z;3b425ce9;summer;dusk;Wetland;Loenderveen;self-noise;0;0;crickets ;0;0;0;0;1;0;biophony
2025-07-11T23_49_38.702Z;3b425ce9;summer;night;Wetland;Loenderveen;self-noise;wind, reed;0;0;0;0;0;0;0;0;technophony
2025-03-23T05_27_12.873Z;44e6e23b;spring;dawn;Wetland;Loenderveen;self-noise;0;0;songbird, gull;1;1;0;1;0;0;biophony
2025-03-23T19_32_54.140Z;44e6e23b;spring;night;Wetland;Loenderveen;self-noise;0;airplane;0;0;0;0;0;0;0;technophony
2025-04-10T13_30_39.423Z;44e6e23b;spring;day;Wetland;Loenderveen;self-noise, ticking;wind;0;songbirds;0;1;0;1;0;0;geophony
2025-04-11T04_07_42.627Z;44e6e23b;spring;dawn;Wetland;Loenderveen;self-noise;0;0;songbirds, insect;0;1;0;1;1;0;biophony
2025-04-14T18_46_04.711Z;44e6e23b;spring;dusk;Wetland;Loenderveen;self-noise;reed;airplane;songbirds;0;1;0;1;0;0;biophony
2025-04-21T00_08_17.584Z;44e6e23b;spring;night;Wetland;Loenderveen;self-noise;rain;0;cricket;0;0;0;0;1;0;technophony
2025-05-02T09_37_16.973Z;44e6e23b;spring;day;Wetland;Loenderveen;self-noise;0;cars;songbirds, cricket, geese;1;1;0;1;1;0;biophony
2025-05-07T17_34_38.573Z;44e6e23b;spring;day;Wetland;Loenderveen;self-noise;wind, biting mic;0;0;0;0;0;0;0;0;geophony
2025-05-10T02_16_01.509Z;44e6e23b;spring;night;Wetland;Loenderveen;self-noise;0;0;crickets;0;0;0;0;1;0;technophony
2025-05-20T19_57_36.096Z;44e6e23b;spring;dusk;Wetland;Loenderveen;self-noise;reed;0;0;0;0;0;0;0;0;technophony
2025-05-30T02_09_56.707Z;44e6e23b;spring;dawn;Wetland;Loenderveen;self-noise;reed, wind;0;songbirds;0;1;0;1;0;0;technophony
2025-06-07T22_06_24.125Z;44e6e23b;spring;dusk;Wetland;Loenderveen;self-noise;wind, reed, rain;0;0;0;0;0;0;0;0;geophony
